Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US24001,24001,"Allegany County, Maryland",73521,*****
0500000US24003,24003,"Anne Arundel County, Maryland",555743,*****
0500000US24005,24005,"Baltimore County, Maryland",823015,*****
0500000US24009,24009,"Calvert County, Maryland",90484,*****
0500000US24013,24013,"Carroll County, Maryland",167564,*****
0500000US24015,24015,"Cecil County, Maryland",101913,*****
0500000US24017,24017,"Charles County, Maryland",152864,*****
0500000US24021,24021,"Frederick County, Maryland",241409,*****
0500000US24025,24025,"Harford County, Maryland",249215,*****
0500000US24027,24027,"Howard County, Maryland",304580,*****
0500000US24031,24031,"Montgomery County, Maryland",1016677,*****
0500000US24033,24033,"Prince George's County, Maryland",890081,*****
0500000US24037,24037,"St. Mary's County, Maryland",109633,*****
0500000US24043,24043,"Washington County, Maryland",149588,*****
0500000US24045,24045,"Wicomico County, Maryland",100896,*****
0500000US24510,24510,"Baltimore city, Maryland",622104,*****
